CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26130,1,1,1,6,6,6,1,994,994,994,6,1,"13",1,2
26131,1,1,1,6,6,6,1,994,994,994,7,1,"12",1,1
26132,3,2,1,2,2,1,1,994,994,994,5,1,"13",1,2
26133,3,2,1,2,2,1,2,995,609,609,1,1,"12",1,2
26134,3,2,1,2,2,1,3,994,994,994,5,1,"12",1,2
26135,1,1,1,6,6,6,1,994,994,994,3,1,"59",5,2
26136,3,2,1,2,2,1,2,994,994,994,3,1,"24",2,1
26137,3,2,1,2,2,1,1,994,609,609,3,1,"59",5,1
26138,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
26139,1,1,1,6,6,6,1,994,994,994,4,1,"12",1,1
26140,1,1,1,6,6,6,1,994,994,994,1,1,"59",5,2
26141,1,1,1,6,6,6,1,994,994,994,7,1,"35",3,2
26142,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
26143,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
26144,1,1,1,6,6,6,1,994,994,994,2,1,"47",4,1
26145,2,2,2,2,2,1,2,994,994,994,4,2,"12",1,2
26146,1,1,1,6,6,6,1,994,609,609,4,1,"35",3,2
26147,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,2
26148,3,2,1,2,2,1,2,994,994,994,4,2,"46",4,2
26149,1,1,1,6,6,6,1,994,994,994,6,1,"13",1,2
26150,3,2,1,2,2,1,1,994,994,994,3,2,"48",4,1
26151,1,1,1,6,6,6,1,994,994,994,5,1,"24",2,2
26152,3,2,1,2,2,1,3,405,609,405,1,1,"24",2,1
26153,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,1
26154,7,7,1,6,6,6,1,994,994,994,7,1,"35",3,2
26155,1,1,1,6,6,6,1,994,994,994,7,1,"12",1,2
26156,1,1,1,6,6,6,1,994,994,994,4,1,"12",1,2
26157,1,1,1,6,6,6,1,994,994,994,1,1,"46",4,1
